PH Salinity Temperature Conductivity DissolveOxygon
6.5 .5 21 5.5 8
7.5 .5 21 5.5 8
7.5 .5 27 5.2 8
7.5 .5 31 5.5 8
6.5 .5 21 5.5 7
6.5 .4 21 6.5 6
7.5 .4 27 5.2 7
14.0 1.2 31 10.5 7800
14.0 1.5 21 15.5 3000
14.0 1.2 21 16.5 3800

6.5 .5 21 5.5 7
7.5 .4 21 6.5 8
7.5 .6 27 5.2 7
7.5 .35 31 6.5 6
6.5 .5 21 5.5 7
6.5 .5 21 5.5 7
7.5 .4 21 6.5 8
7.5 .6 27 5.2 7
7.5 .35 31 6.5 6
6.5 .5 21 5.5 7

6.5 .45 21 5.5 7
7.5 .32 21 6.5 8
7.5 .49 27 5.2 9
7.5 .65 31 6.5 9
6.5 .55 21 5.5 9
14.0 3.35 31 12.5 7800
14.0 3.5 21 15.5 3000
14.0 3.2 21 16.5 3800
14.0 3.9 27 15.2 5600
14.0 3.35 31 12.5 7800
