PH Salinity Temperature Conductivity DissolveOxygon time_last_calibration time_last_maintainence 
6.5 .5 21 5.5 8 80 70
7.5 .5 21 5.5 8 80 40
7.5 .5 27 5.2 8 80 50
7.5 .5 31 5.5 8 80 20
6.5 .5 21 5.5 7 70 70
6.5 .4 21 6.5 6 60 50
7.5 .4 27 53.2 7 70 40
14.0 1.2 31 10.5 7800 75 35
14.0 1.5 21 15.5 3000 78 68
14.0 1.2 21 16.5 3800 80 43

5.5 .3 19 5.45 7 80 23
5.65 .34 18 5.5 8 80 43
5.5 .38 20 5.32 7 80 56
5.15 .45 21 6.25 6 80 76
6.25 .53 21 4.5 7 70 25
6.15 .51 25 51.5 7 460 425
12.5 .46 28 61.35 83 370 637
12.5 .61 30 15.2 74 290 544
5.5 .35 40 46.5 62 905 87
14.5 .42 30 15.5 7 60 445

6.5 .45 18 5.5 7 70 65
7.5 .32 19 6.5 8 60 23
7.5 .49 20 5.2 9 70 33
7.5 .65 21 6.5 9 90 75
6.5 .55 21 5.5 9 65 39
14.0 3.35 61 12.5 7800 70 76
14.0 3.5 71 15.5 3000 60 45
14.0 3.2 41 16.5 3800 70 46
14.0 3.9 20 15.2 5600 90 55
14.0 3.35 21 12.5 7800 65 46
